"title","url","stars","name","reviewUrl","text"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Natasha Francis","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkUVdFaHFSa2M0WlhORVJITXdlVkpuYjNsbWRVRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOjdQWEhqRkc4ZXNERHMweVJnb3lmdUE%7C0dfUMtpj_6P%7C?hl=en","Kevin was amazing and the food was delicious."
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Bianca Thomas","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xFeFlTMXFUVmxZZWxaWlkxSkJZUzEwY0ZCd2FIYxAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOlExYS1qTVlYelZZY1JBYS10cFBwaHc%7C0dfUI99Ab96%7C?hl=en","Kevin was great! He was on time, entertaining and the food was great!"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Antasia Brown","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkV1RYcFBSRWhxZUhveVJrUmFZV0pVYkRoaWJXYxAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOldWTXpPREhqeHoyRkRaYWJUbDhibWc%7C0dfUHgrZGN2%7C?hl=en","Kevin was amazing and so fun. I would definitely recommend him."
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Ciara Martin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5RFVWTlhXa0l4TFdGb05FOVZlRFpNVWpsVk9YYxAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOl9DUVNXWkIxLWFoNE9VeDZMUjlVOXc%7C0dfCIUgVdYk%7C?hl=en","Peter was awesome"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Monica Giraldo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVd01FZEtSSGR6UmtvNGFWUldjRFo2VDJwUmJVRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOjUwMEdKRHdzRko4aVRWcDZ6T2pRbUE%7C0dfCEOkq41l%7C?hl=en","Peter is the best!! Food was so yummy and a really fun experience"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Yo Mr.R","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsMFFqTkxZamx0Y0VkMmIyVk9RVFZaWDFwV04xRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOkl0QjNLYjltcEd2b2VOQTVZX1pWN1E%7C0dfCE5Yfw_o%7C?hl=en",
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Daniel Cortes","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKb01GazJhRVJ6VkdkdWIwbDRPRFY1ZVVOVE1FRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOlJoMFk2aERzVGdub0l4ODV5eUNTMEE%7C0dfCC6LvNGD%7C?hl=en","Peter was great !! Great service and great cooking service! Definitely would recommend him for further clients, 10/10 ! Thanks again Peter !"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Claudia Hernandez","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSTWRFVklUMGxhZVdsQlltZDRiMmhJWms1MlRsRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOlRMdEVIT0laeWlBYmd4b2hIZk52TlE%7C0dfCAW2LzYc%7C?hl=en","Peter was great love him food was so yummy!!"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Giancarlo Gamboa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWNVIydDFRV2cyU0MxbmRHTlVOMVZ3YjFocmFGRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOkV5R2t1QWg2SC1ndGNUN1Vwb1hraFE%7C0dfCAR1hzKK%7C?hl=en","Excellent job from Peter. Thank you!"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Xena Stephany","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkeWQyVnBMVWR0YWxNM1RVNWlPV3A0T0c1UWNVRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOkdyd2VpLUdtalM3TU5iOWp4OG5QcUE%7C0dfCAIjxBun%7C?hl=en",
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Baddie Ville","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsbllqUkNkWFpDZUZRNVRuRXpiRmxHUkZwQ2QwRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOklnYjRCdXZCeFQ5TnEzbFlGRFpCd0E%7C0dfC9qFRGkx%7C?hl=en","Amazing !!"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Kevin Cannon","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sTFZEaFRkV1p3VFVaU2JHeDVWVmt5VUV4eWNYYxAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOmlLVDhTdWZwTUZSbGx5VVkyUExycXc%7C0dfBhyrsgF1%7C?hl=en","Very professional and clean. The food was so fresh and tasty!"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Dan Wilkins","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pnMVFVaGxXamx1VVZGR1ZHMVFlazFyY1ZGTWVtYxAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOjg1QUhlWjluUVFGVG1Qek1rcVFMemc%7C0dfBhFN7B9w%7C?hl=en","Kevin was great! The food was delicious and the entertainment was well worth it. Would highly recommend."
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Brandon Belanger","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25adGJWVm9RVTFVU2xnNVNrbExka2hDVERRd1RVRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOnZtbVVoQU1USlg5SklLdkhCTDQwTUE%7C0dfBh7lbt02%7C?hl=en","Kevin was great!"
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Tori Diaz","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT213ME1rZENVV295VmxsbFVsZHZVMUkzVTNwUk4wRRAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOmw0MkdCUWoyVlllUldvU1I3U3pRN0E%7C0dfBh-YuJqi%7C?hl=en",
"Tokyo Hibachi Catering","https://www.google.com/maps/search/?api=1&query=Tokyo%20Hibachi%20Catering&query_place_id=ChIJPx0KMrbxwokR0_oEzJL1aQ8","5","Karah Kaszuba","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OV1RIY3dWMVppV2tKQ2ExWTNUVUZWWTJoMWNHYxAB!2m1!1s0x0:0xf69f592cc04fad3!3m1!1s2@1:CAIQACodChtycF9oOnNWTHcwV1ZiWkJCa1Y3TUFVY2h1cGc%7C0dfBgZDjrRG%7C?hl=en","kevin was amazing!!!"
